OBJECTID,Name,Anzahl der Einwohnerinnen und Einwohner,Anzahl der Kinder und Jugendlichen unter 18 Jahren,Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bev,Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren,Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an de,Anzahl ausländischer Einwohnerinnen und Einwohner,Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-,Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migration,Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hi,Anzahl der Haushalte,Durchschnittliche Anzahl der Personen je Haushalt,Anzahl der Einpersonen-haushalte,"Anteil der Haushalte, in denen nur eine Person lebt, an allen Ha",Anzahl der Haushalte mit Kindern,"Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen",Fläche in km²,Einwohnerinnen und Einwohner je km²,Anzahl der Lebendgeborenen,Anzahl der Sterbefälle,Zuzüge über die Stadtteilgrenze im Jahr 2017,Fortzüge über die Stadtteilgrenze im Jahr 2017,Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze,Sozial-versicherungs-pflichtig Beschäftigte am Wohnort,Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort a,Anzahl der Arbeitslosen,Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-J,Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren,Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jü,Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren,Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den ält,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anzahl der Bedarfs-gemeinschaften nach SGB II,Anzahl der Lohn- und Einkommen-steuerpflichtigen (2013),Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einko,Anzahl der Wohngebäude,Anzahl der Wohnungen,Anzahl der bezugsfertig gewordenen Wohnungen im Jahr,Anzahl der Wohnungen in Ein- und Zweifamilien-häusern,Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen W,Durchschnittliche Wohnungsgröße in m²,Durchschnittliche Wohnfläche je Einwohner/-in in m²,Anzahl der Sozialwohnungen,Anteil der Sozialwohnungen an allen Wohnungen,Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2022,Anteil der Sozialwohnungen mit Bindungsauslauf bis 2022 an allen,Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²,Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilien,Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in,Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahre,Anzahl der Grundschulen,Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wo,Anteil der Schülerinnen und Schüler in Stadtteilschulen an allen,Anteil der Schülerinnen und Schüler in Gymnasien an allen Schüle,Anzahl der niedergelassenen Ärzte,Anzahl der Allgemeinärzte,Anzahl der Zahnärzte,Anzahl der Apotheken,Anzahl privater PKW,Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner,Shape__Area,Shape__Length
21,Othmarschen,15281,3132,20.4960408350239,3190,20.8755971467836,1854,12.1327138276291,3842,25.1324654935566,1119,35.785097537576,7214,2.10909342944275,3014,41.7798724701968,1834,25.4227890213474,255,13.9040348964013,5.9468143574,2569.61106932569,204,139,1870,1629,241,4702,50.1,234,2.49148211243612,14,1.05820105820106,44,2.72277227722772,462,3.02336234539624,138,5.11300481659874,219,7056,108258,2748,7020,58,2357,33.5754985754986,112.966951566952,51.8963418624436,157,2.23646723646724,0,0,0,0,0,13,3,833,16.4465786314526,82.1128451380552,42,8,10,1,6606,432.301550945619,16814964.0654297,17995.099574236
22,Lurup,36257,7301,20.1368011694294,6669,18.3936894944425,7271,20.0540585266293,17291,47.6730079955886,4814,66.1536347395905,17619,2.04012713547874,7927,44.9912026789262,4140,23.4973608036778,1201,29.0096618357488,6.2923383561,5762.08683451539,401,402,2960,2835,125,12961,55.3,1727,7.36021138765769,172,4.28607027161724,248,5.63508293569643,6084,16.7802079598422,1980,32.3318092749837,2832,15733,26665,5453,15989,34,5206,32.5598849208831,77.3377321908812,34.1052210607607,2153,13.4655075364313,349,16.2,476,0,0,22,4,2373,62.1154656552887,34.4289928360725,28,14,12,6,11736,323.689218633643,17829799.9091797,21773.9999520489
23,Osdorf,26422,5370,20.3239724472031,5907,22.3563696919234,4781,18.0947695102566,10647,40.3203817314247,3068,57.2815533980583,13117,1.99077532972478,6136,46.778989098117,3009,22.9396965769612,870,28.913260219342,7.2508422544,3643.99045972438,275,349,2623,2243,380,8358,53.2,1019,6.37791825749515,82,3.05059523809524,135,4.41032342371774,3743,14.1662251154341,1222,26.928162185985,1765,11482,43177,4046,12584,157,3351,26.6290527654164,84.4136204704387,40.2036560442056,1224,9.72663699936427,682,55.7,824,0,0,14,4,1745,51.0028653295129,45.214899713467,71,18,16,5,9099,344.372114147301,20526026.496582,21744.7797348177
24,Nienstedten,7307,1453,19.8850417407965,1864,25.5097851375393,778,10.6473244833721,1448,19.8383340183587,394,27.2475795297372,3545,2.08829337094499,1547,43.638928067701,826,23.3004231311707,119,14.4067796610169,4.3794291018,1668.48231359579,43,109,807,682,125,1784,42.7,78,1.83832194202215,0,0,19,2.20673635307782,51,0.697960859449843,6,0.5,38,3286,120716,1822,3242,36,1720,53.0536705737199,124.300123380629,55.1499931572465,0,0,0,0,0,0,0,7,1,496,22.3790322580645,75.6048387096774,17,1,8,2,3681,503.76351443821,12385157.1411133,15317.2176791066
25,Blankenese,13491,2481,18.3900378029798,3722,27.5887628789563,1118,8.28700615224965,2370,17.5646631586749,619,24.9596774193548,7002,1.99271636675236,3203,45.7440731219652,1454,20.7654955726935,252,17.3314993122421,7.7357713988,1743.97604382321,112,105,1253,1170,83,3566,46.5,129,1.67141746566468,12,0.99009900990099,30,1.88560653676933,159,1.17856348676896,24,1.17016089712335,112,6279,117139,3406,6857,59,3114,45.4134461134607,117.081668368091,59.5084871395745,48,0.700014583637159,0,0,0,0,0,8,3,851,21.8566392479436,77.5558166862515,112,23,24,6,6639,492.10584834334,21886431.0957031,22839.556737243
26,Iserbrook,11468,2076,18.1025462155563,2883,25.1395186606209,998,8.70247645622602,2506,21.8807299397538,696,33.7209302325581,5690,1.97521968365554,2561,45.0087873462214,1252,22.0035149384886,305,24.3610223642173,2.6701206144,4294.93706694481,105,147,1004,842,162,3891,57.1,261,3.81244522348817,9,0.885826771653543,60,4.2583392476934,611,5.32786885245902,160,9.20069005175388,350,5539,39439,2484,5698,15,2313,40.5931905931906,84.0447525447525,41.758545517963,132,2.31660231660232,0,0,612,0,0,9,3,681,46.8428781204112,51.1013215859031,8,6,6,1,4664,406.696895709801,7559234.23291016,15924.6523925759
27,Sülldorf,9542,1888,19.7862083420667,1959,20.5302871515406,1295,13.5715782854747,2313,24.2097550764078,592,31.3559322033898,4567,1.98970878038099,2123,46.4856579811693,1037,22.706371797679,231,22.2757955641273,5.7361838417,1663.47527612924,85,82,1020,910,110,3051,50.8,297,4.93027888446215,27,2.57142857142857,55,4.66101694915254,776,8.13246698805282,190,12.1872995509942,448,4247,43584,2414,4431,50,2274,51.3202437373053,90.8806138569172,42.2020540767135,200,4.51365380275333,0,0,759,0,0,2,1,649,42.8351309707242,55.9322033898305,13,7,3,2,3713,389.121777405156,16246158.5058594,23094.1010235107
28,Rissen,15327,2825,18.4315260651139,4664,30.4299602009526,1239,8.08377373262869,2753,17.9617668167286,812,28.7841191066998,7785,1.98342967244701,3533,45.3821451509313,1657,21.2845215157354,325,19.6137598068799,16.7038479214,917.573009052838,101,221,1196,1029,167,4288,51.9,286,3.4251497005988,12,0.900900900900901,63,3.51170568561873,603,3.93423370522607,163,7.04712494595763,336,7287,65855,3765,7442,55,3496,46.9766191883902,101.116500940607,49.0969530893195,178,2.39183015318463,124,69.7,641,0,0,7,2,958,32.8810020876827,66.1795407098121,32,7,16,4,6741,439.812096300646,47313290.6538086,47174.826072287
29,Eimsbüttel,57541,7384,12.8325889365843,7254,12.6066630750248,6919,12.0244695086981,13528,23.5012073727916,2407,32.654999321666,38707,1.52763066112073,26071,67.3547420363242,5065,13.0854884129486,1287,25.4096742349457,3.22554870501,17839.1353727277,838,300,6999,7181,-182,27126,62.1,1651,3.77397307243925,86,1.88472496164804,271,4.72372320027889,2578,4.48028362385082,429,6.55963302752293,1811,32492,37536,3259,34235,92,310,0.905506061048634,63.9270921571491,38.0345145200813,666,1.94537753760771,265,39.8,0,0,0,63,8,1827,34.1543513957307,62.5068418171866,290,32,57,12,14983,260.388244903634,9130238.62695313,14093.8899465465
30,Rotherbaum,16744,2275,13.5869565217391,2623,15.6653129479216,2837,16.9433827042523,5064,30.1751877011083,847,37.1654234313295,10841,1.59136611013744,6998,64.5512406604557,1446,13.3382529286966,324,22.4066390041494,2.7353092669,6121.42846244821,173,99,2633,2413,220,6212,51.2,366,3.01656638918652,12,0.771704180064309,64,3.64464692482916,435,2.59794553272814,59,2.96780684104628,318,8142,68191,1200,9980,49,330,3.30661322645291,83.0271543086172,49.4870401337793,79,0.791583166332665,79,100,0,0,0,16,2,631,16.9572107765452,81.7749603803487,130,19,45,8,5371,320.771619684663,7740094.87841797,12056.8833436867
31,Harvestehude,17952,2775,15.4578877005348,3685,20.5269607843137,2352,13.1016042780749,4770,26.5501502838695,960,34.7197106690778,10896,1.70980176211454,6468,59.3612334801762,1718,15.7672540381791,343,19.965075669383,2.0505243879,8754.83369324134,197,120,2227,2125,102,5776,48.6,382,3.20604280318926,28,1.79372197309417,73,3.42723004694836,611,3.40352049910873,105,4.46428571428571,416,9233,111088,1347,10036,1,533,5.31088082901554,96.7709246711837,54.0994318181818,75,0.747309685133519,45,60,0,0,0,19,1,794,17.632241813602,81.1083123425693,149,14,50,5,6871,382.742869875223,5803860.76318359,10122.5870518748
32,Hoheluft-West,13337,1657,12.4240833770713,1817,13.6237534677964,1483,11.1194421534078,2850,21.311597995962,463,27.7744451109778,8952,1.53418230563003,5928,66.2198391420912,1191,13.3042895442359,294,24.6851385390428,0.71951873651,18536.0009729429,176,75,2049,1889,160,6316,63,317,3.14702670505311,10,0.916590284142988,60,4.60122699386503,372,2.78923296093574,57,3.93918451969592,281,7902,42169,803,8018,97,108,1.34696931903218,66.3740334247942,39.9030516607933,12,0.149663257670242,0,0,0,0,0,9,1,413,25.4237288135593,72.3970944309927,32,8,11,3,3677,275.699182724751,2037556.36914063,6562.52290853304
33,Lokstedt,28534,4858,17.0253031471227,5833,20.4422793859957,3979,13.9447676456158,8480,29.7074794184621,2085,43.1052305147819,15592,1.81638019497178,8460,54.2585941508466,2973,19.0674704976911,604,20.3161789438278,4.89619990302,5827.78492814398,320,313,3187,3081,106,11033,60.1,750,4.05800238069473,67,2.41180705543557,134,4.5827633378933,2032,7.1213289409126,522,12.3726001422138,1048,14273,41778,3194,14888,121,2137,14.3538420204191,74.3938070929608,38.8159739258429,193,1.29634605051048,53,27.5,734,0,0,22,4,1332,36.5615615615616,58.4834834834835,61,18,17,7,9513,333.39174318357,13873527.1987305,16921.8842785859
34,Niendorf,41670,6558,15.7379409647228,10857,26.0547156227502,4289,10.2927765778738,9293,22.2955303375639,2313,35.4211332312404,21810,1.87790004585053,10412,47.7395690050436,4022,18.4410820724438,821,20.412729985082,12.417588871,3355.72391974709,359,474,3947,4096,-149,15119,59.4,734,2.89409352574718,52,1.36447126738389,175,3.39410395655547,1505,3.61171106311495,346,6.3474591818015,918,20811,41651,8523,20814,90,7356,35.3415970020179,85.7917747669838,42.852651787857,760,3.65138848851734,573,75.4,539,0,0,19,5,1996,36.7234468937876,60.7214428857715,94,27,37,8,17484,419.582433405328,35241857.21875,31274.8109751311
35,Schnelsen,29578,5526,18.6828047873419,5902,19.9540198796403,4140,13.9968895800933,9418,31.8283203785063,2634,47.7519941986947,14157,2.02352193261284,6159,43.5049798686162,3237,22.8650137741047,798,24.6524559777572,8.9507571336,3304.52491990515,294,298,3416,3247,169,11015,57.8,882,4.62433806952236,80,2.45549416820135,170,4.630890765459,2736,9.2501183311921,850,18.4662176841191,1317,13530,37866,5831,13409,121,5320,39.6748452531882,88.716086210754,40.2188788964771,1674,12.4841524349318,85,5.1,489,0,0,25,4,1734,57.2087658592849,40.4267589388697,51,17,28,6,12023,406.484549327203,25412578.9521484,25252.0050244107
36,Eidelstedt,32601,5334,16.3614613048679,7197,22.0760099383455,5339,16.3767982577222,11656,35.746925506793,2958,55.6747600225861,17329,1.88412487737319,8533,49.2411564429569,3275,18.8989555081078,822,25.0992366412214,8.7223513764,3737.63892248233,343,392,2946,2701,245,12328,59.2,1159,5.5544905588038,117,3.58675659104844,186,4.72801220132181,3403,10.4383301125732,960,21.1546936976642,1757,15376,30938,5094,15913,141,4393,27.6063595802174,75.3275309495381,36.7684120119015,1307,8.21341041915415,140,10.7,455,0,0,10,5,1609,57.8620261031697,39.2790553138595,53,16,20,5,11474,351.952394098341,24732665.1347656,26102.2102692346
37,Stellingen,25753,3565,13.843047411952,4868,18.9026521181998,4649,18.052265755446,8636,33.4754632142026,1733,48.5298235788295,14618,1.70385825694349,8400,57.4634012860856,2229,15.2483239841292,517,23.1942575145805,6.0892014642,4229.29018713022,294,243,3935,3913,22,10633,60.1,852,4.79136205151277,61,2.17779364512674,139,5.1405325443787,1958,7.60299770900478,405,13.0518852723171,1259,12277,32600,2783,13815,107,1688,12.2186029677886,69.7918204849801,37.4392886265678,197,1.42598624683315,89,45.2,491,0,0,11,3,901,44.6170921198668,50.6104328523862,37,13,8,3,8123,315.419562769386,17249600.6694336,20900.9542504334
38,Hoheluft-Ost,9624,1292,13.4247714048213,1489,15.4717373233583,1011,10.5049875311721,2140,22.2499480141402,378,29.53125,6261,1.59639035297876,3940,62.9292445296279,887,14.1670659639035,216,24.3517474633596,0.56550447799,17018.4328764417,132,53,1219,1276,-57,4243,60.5,212,3.02037327254595,7,0.943396226415094,53,4.96719775070291,304,3.15876974231089,39,3.49462365591398,238,5182,52006,633,6004,0,93,1.5489673550966,72.6755496335776,45.3391521197007,106,1.76548967355097,0,0,0,0,0,6,0,314,23.5668789808917,76.4331210191083,190,48,20,4,3101,322.215295095594,1601558.18261719,5252.63082949615
39,Eppendorf,24718,3392,13.7227931062384,4563,18.4602314103083,2395,9.68929525042479,5078,20.5703637689379,972,28.7488908606921,15336,1.62956442357851,9491,61.8870631194575,2224,14.5018257694314,473,21.2679856115108,2.6692541148,9260.26482939488,327,228,3423,3227,196,10444,61.1,448,2.61011419249592,24,1.11679851093532,97,3.85073441842001,538,2.1765515009305,66,2.20661985957874,407,13210,58438,1631,14152,26,374,2.64273600904466,80.1184991520633,45.8709037948054,625,4.41633691351046,103,16.5,0,0,0,14,3,880,18.8636363636364,78.5227272727273,161,28,45,11,7925,320.616554737438,7564166.17871094,13552.6392719849
40,Groß Borstel,8499,1387,16.3195670078833,1796,21.1318978703377,1312,15.4371102482645,2288,26.8923366243536,510,36.7700072098053,4736,1.74936655405405,2666,56.2922297297297,772,16.3006756756757,188,24.3523316062176,3.985755325,2132.34363551907,71,84,1291,1242,49,3081,56.3,251,4.51845184518452,14,1.70731707317073,60,5.50964187327824,603,7.09495234733498,119,10.3658536585366,399,4064,42631,1752,4443,3,1577,35.4940355615575,74.8604546477605,39.1346040710672,177,3.98379473328832,46,26,553,0,0,8,2,448,38.1696428571429,58.2589285714286,5,4,7,2,3171,373.10271796682,11302637.1630859,16153.9583635381
41,Alsterdorf,15031,2484,16.525846583727,2837,18.8743263921229,2026,13.478810458386,4094,27.2624359059732,1036,41.74053182917,8109,1.80626464422247,4352,53.6687631027254,1479,18.2389937106918,359,24.2731575388776,3.1552410515,4763.81986500026,168,157,2100,1524,576,5421,54.8,390,3.87288977159881,32,2.03303684879288,67,3.89082462253194,1109,7.37808529039984,332,15.6308851224105,539,6302,52426,1995,7728,125,1312,16.9772256728778,77.6061076604555,39.9002062404364,588,7.60869565217391,143,24.3,886,0,0,11,2,715,39.8601398601399,56.0839160839161,38,9,10,4,5209,346.550462377753,8947283.08544922,17185.7017115061
42,Winterhude,55651,6973,12.5298736770229,8101,14.5567914323193,6847,12.3034626511653,13449,24.1376215944578,2463,35.3219561164492,35750,1.56668531468531,23261,65.0657342657343,4691,13.1216783216783,1059,22.5751438925602,7.58430863334,7337.64970420148,777,340,7560,7224,336,25894,62.8,1356,3.27472952086553,95,1.87376725838264,259,4.73578350703968,2372,4.26227740741406,418,6.8056007815044,1610,29898,51627,3651,32860,256,725,2.20632988435788,69.8842057212416,41.26421807335,552,1.67985392574559,82,14.9,0,0,0,42,5,1642,39.1595615103532,58.7088915956151,230,39,78,14,17559,315.519936748666,21488125.1733398,19225.4524125471
43,Uhlenhorst,18017,2274,12.6214131098407,3489,19.3650441249931,1940,10.7676083698729,4370,24.2777777777778,831,36.8677905944987,11448,1.60543326345213,7137,62.3427672955975,1554,13.5744234800839,307,19.7554697554698,2.1806117528,8262.36031098401,235,173,2504,2150,354,7548,61,340,2.72108843537415,9,0.709219858156028,65,3.41745531019979,425,2.35888327690515,56,2.75454992621741,317,9924,62479,1209,10729,79,243,2.26488955168236,78.4243638736136,46.7011711161681,179,1.66837543107466,0,0,0,0,0,10,1,528,23.4848484848485,75.5681818181818,91,23,19,4,6311,350.280290836432,6171784.56347656,12194.7975467617
44,Hohenfelde,10030,1221,12.1734795613161,1586,15.8125623130608,1962,19.5613160518445,3685,36.6520787746171,737,60.261651676206,6349,1.53252480705623,4187,65.9473932902819,711,11.1986139549535,151,21.2376933895921,1.1547509821,8685.85535364491,148,125,1739,1646,93,4282,58.6,325,4.41276306856755,26,2.48328557784145,47,4.94736842105263,818,8.1555333998006,223,20.6672845227062,440,5111,39541,694,5768,8,151,2.61789181692094,67.7212205270458,38.9447657028913,89,1.54299583911234,0,0,0,0,0,3,0,282,45.3900709219858,52.4822695035461,36,10,14,3,2702,269.391824526421,3267013.61181641,8226.00273506068
45,Barmbek-Süd,35218,3703,10.5145096257596,4992,14.17456982225,4721,13.4050769492873,9518,27.0674553520646,1691,46.0010881392818,24039,1.47356379217106,16571,68.9338158825242,2560,10.6493614543034,736,28.75,3.09177391643,11390.8716975869,413,323,5109,4893,216,17672,66,1211,4.49250630657368,71,2.18461538461538,210,6.26491646778043,2393,6.79482083025725,457,13.9755351681957,1578,19291,32679,2110,22141,121,119,0.53746443250079,59.1810667991509,37.2062013742972,721,3.25640214985773,6,0.8,877,0,0,26,3,893,53.1914893617021,44.3449048152296,54,22,26,7,9992,283.718553012664,8753353.49414063,12436.6307892241
46,Dulsberg,17442,2169,12.4355005159959,2204,12.636165577342,3767,21.5972938883156,7478,42.8931972008719,1550,71.626617375231,12004,1.47934021992669,8522,70.9930023325558,1354,11.2795734755082,584,43.1314623338257,1.22582953683,14228.732034884,172,138,2344,2295,49,8160,60.9,1137,8.48317540849064,78,3.76084860173578,191,10.8338060124787,3026,17.3489278752437,745,40.5994550408719,1766,8895,21239,1074,10743,0,39,0.363027087405753,53.2835334636507,32.8187707831671,1077,10.0251326445127,573,53.2,799,0,0,8,0,700,72.1428571428571,24.8571428571429,24,7,7,3,3870,221.8782249742,3471433.50048828,8371.0569980048
47,Barmbek-Nord,41892,4304,10.2740380024826,5491,13.1075145612527,5558,13.267449632388,11292,26.9704786471768,2010,46.9516468114926,29252,1.45196909613018,20637,70.5490222890743,2958,10.1121290851908,808,27.315753887762,3.85119606749,10877.6596324536,511,404,5767,5553,214,21726,66.8,1643,5.03879535069157,112,2.68327743172017,304,7.40921277114307,3463,8.26649479614246,631,16.6315234580917,2371,23386,28330,2682,26708,83,278,1.04088662573012,56.652501123259,36.1184713071708,1032,3.86401078328591,174,16.9,840,0,0,13,2,998,60.2204408817635,37.4749498997996,97,28,37,13,11164,266.494796142462,10911987.34375,16163.3129908262
48,Ohlsdorf,16471,2739,16.6292271264647,2689,16.3256632869893,1996,12.1182684718596,3999,24.3514797223237,987,36.2334801762115,9289,1.77694046721929,5191,55.8833028313058,1675,18.0320809559694,354,21.134328358209,7.1607871926,2300.1661070198,188,151,2285,1780,505,6740,59.6,463,4.06818381513048,34,2.23390275952694,84,4.6875,1179,7.15803533483091,317,13.2028321532695,680,9124,39049,2373,8315,133,1678,20.1803968731209,73.5351773902586,37.1225183656123,335,4.02886349969934,0,0,696,0,0,11,1,792,50.3787878787879,46.5909090909091,13,7,7,3,5561,337.623702264586,20316728.40625,29006.6840544268
49,Fuhlsbüttel,12701,1975,15.5499566963231,2530,19.9196913628848,1606,12.6446736477443,2948,23.1324544883867,669,33.8220424671385,7162,1.7609606255236,3903,54.4959508517174,1233,17.2158614912036,291,23.6009732360097,7.7744073665,1633.69365679611,136,105,1540,1487,53,5173,61,324,3.81490639350053,23,1.81531176006314,64,4.35374149659864,919,7.23565073616251,227,13.5280095351609,535,6490,39526,2060,6748,12,1513,22.42145820984,76.6468583283936,40.722226596331,169,2.50444576170717,29,17.2,590,0,0,7,2,594,36.1952861952862,58.7542087542087,24,5,15,4,4751,374.065034249272,22065195.9145508,31199.5808798296
50,Langenhorn,45888,8019,17.4751569037657,8882,19.3558228730823,7017,15.291579497908,14308,31.1897807036666,3649,45.6010997250687,23379,1.9085076350571,11303,48.3468069635143,4735,20.2532187005432,1212,25.5966209081309,13.3671431237,3432.8950902486,576,479,5158,4986,172,17339,57.5,1597,5.27532784989925,165,3.19891430787127,307,5.46847167794799,4917,10.715219665272,1429,21.2238229615328,2499,20892,30965,9310,21569,335,8409,38.9865084148547,75.7216838981872,35.5918976638773,1833,8.49830775650239,289,15.8,356,0,0,25,6,2401,54.9770928779675,41.3577675968346,89,22,20,8,16637,362.556659693166,37993537.7617188,26885.9719930577
51,Eilbek,21964,2551,11.6144600254963,3350,15.2522309233291,3342,15.2158076853032,6851,31.1905303892556,1373,54.2045005921832,14479,1.53829684370468,9507,65.6606119207128,1688,11.6582636922439,413,24.4668246445498,1.7513780118,12540.981930809,291,171,3318,2958,360,10675,65.8,736,4.49548008795505,51,2.48538011695906,137,6.28152223750573,1630,7.42123474776908,402,17.9304192685103,939,12199,32559,1552,13289,81,199,1.49747911806757,62.4186169011965,37.765479876161,436,3.28090902249981,86,19.7,0,0,0,13,3,634,52.0504731861199,44.4794952681388,35,12,24,3,6268,285.376069932617,4956083.33496094,9828.71188389453
52,Wandsbek,35768,4743,13.2604562737643,6550,18.3124580630731,6486,18.1335271751286,12723,35.5649354279644,2885,61.2266553480475,21540,1.61926648096565,13198,61.272051996286,2774,12.8783658310121,702,25.3064167267484,5.94357927303,6017.92259460614,441,332,5628,4535,1093,15650,62.4,1217,4.84744682546005,100,2.6281208935611,212,5.54828578906046,3896,10.8924178036234,1119,27.2130350194553,2033,17913,28567,3917,19962,62,2265,11.346558461076,65.167518284741,36.3697718631179,901,4.51357579400862,128,14.2,491,0,0,15,5,1271,53.3438237608183,43.9811172305271,63,27,43,9,11502,321.572355177813,16831994.3271484,19797.4433031092
53,Marienthal,13310,2010,15.1014274981217,2788,20.946656649136,1490,11.1945905334335,3524,26.5141825295313,827,41.3913913913914,7114,1.80320494798988,3717,52.2490863086871,1249,17.5569299971886,234,18.7349879903923,3.2132391043,4142.23765115655,146,192,1982,1900,82,5080,56.7,410,4.63748444746069,59,4.04941660947152,52,3.57880247763248,567,4.25995492111195,128,7.61451516954194,341,6621,59131,2146,6605,28,1582,23.9515518546556,90.2157456472369,44.7689706987228,25,0.378501135503407,1,4,744,0,0,9,1,553,32.1880650994575,66.1844484629295,73,16,14,4,5332,400.601051840721,9092923.18261719,14588.4851473874
54,Jenfeld,26238,5146,19.6127753639759,4702,17.9205732144218,6529,24.8837563838707,14940,56.9576820434617,3934,76.775956284153,12818,1.99711343423311,6180,48.2134498361679,2800,21.8442814791699,823,29.3928571428571,4.9911869453,5256.86580918538,312,303,3483,2851,632,8450,48.5,1371,7.94644409667884,130,3.64451920381273,260,7.97301441275682,5879,22.4064334171812,1806,42.1667055802008,2708,10163,23975,2669,11053,161,2094,18.9450827829549,72.811001538044,30.6723073404985,1596,14.4395186827106,443,27.8,428,0,0,16,4,1669,64.8891551827441,30.7968843618933,35,15,19,5,7589,289.23698452626,14128777.6821289,17661.9129470698
55,Tonndorf,14812,2595,17.5195787199568,2694,18.1879557115852,2399,16.1963273021874,5785,39.103690685413,1526,59.1014717273431,8071,1.8580101598315,4180,51.7903605501177,1592,19.7249411473176,373,23.429648241206,3.9411318166,3758.31123882029,178,143,1590,1536,54,5930,60.2,557,5.62171982236577,50,3.32225913621262,110,6.44405389572349,1610,10.8695652173913,472,21.3574660633484,848,7211,32210,2311,7430,18,1778,23.9300134589502,76.278600269179,38.2628949500405,817,10.9959623149394,74,9.1,444,0,0,5,1,763,59.5019659239843,37.6146788990826,22,7,10,3,5555,375.033756413719,11162755.2773438,16840.9352873404
56,Farmsen-Berne,34752,6090,17.5241712707182,6927,19.9326657458564,4148,11.9360036832413,10704,30.7975601335021,2839,46.8018463567425,17852,1.91071028456195,8517,47.7089401747703,3748,20.9948465157965,1010,26.9477054429029,8.2263672007,4224.46496152553,338,392,3067,2824,243,13762,60.6,1045,4.60271317829457,87,2.50937409864436,205,4.61607746003152,3618,10.4109116022099,1141,22.2808045303652,1743,16784,31603,6461,16881,177,5733,33.9612582192998,76.0517741839938,36.9426220073665,1144,6.77684971269475,70,6.1,477,0,0,21,6,1935,56.8992248062015,39.7416020671835,41,16,16,5,13255,381.416896869245,23329400.4106445,27973.8811092588
57,Bramfeld,52342,7695,14.701387031447,11263,21.5180925451836,6333,12.0992701845554,15227,29.1163929097271,3527,46.0143509458578,30001,1.76114129529016,16054,53.5115496150128,4942,16.4727842405253,1440,29.1380008093889,10.0658645001,5199.95078410602,519,546,4833,4352,481,21161,61.3,1774,5.1250938926446,175,3.35056480949646,349,5.07193721842755,5311,10.1467272935692,1382,21.3766434648105,3019,25974,30928,9075,27970,222,7565,27.0468358956024,71.1913836253128,38.0425470941118,1913,6.83947086163747,385,20.1,479,0,0,24,5,2311,54.5651233232367,42.4924275205539,71,31,39,10,20565,392.896717741011,28547596.0180664,29551.5215922414
58,Steilshoop,19662,3855,19.6063472688435,3884,19.7538398942122,4589,23.339436476452,10109,51.4191251271617,2782,72.3348933957358,9765,2.0221198156682,4534,46.4311315924219,2189,22.4167946748592,700,31.9780721790772,2.49836693207,7869.94085921127,245,160,1727,1528,199,6546,52.6,1110,8.86510662087693,110,4.81189851268591,179,7.66923736075407,4669,23.7463126843658,1512,46.4230887319619,2018,8598,22730,957,8851,85,335,3.78488306406056,74.0040673370241,33.3134981181975,2891,32.6629759349226,492,17,441,0,0,12,2,1288,69.9534161490683,25.776397515528,9,7,8,3,5692,289.492421930628,7084639.03125,11780.3663185545
